Rank,Company,Symbol,YTD Return
1,Apple Inc.,AAPL,-6.64
2,Microsoft Corp,MSFT,0.29
3,Nvidia Corp,NVDA,1.78
4,Amazon.com Inc,AMZN,2.05
5,"Meta Platforms, Inc. Class A",META,7.72
6,Alphabet Inc. Class A,GOOGL,-1.83
7,Berkshire Hathaway Class B,BRK.B,-0.85
8,Broadcom Inc.,AVGO,5.64
9,Alphabet Inc. Class C,GOOG,-1.83
10,Eli Lilly & Co.,LLY,-5.70
11,Jpmorgan Chase & Co.,JPM,-3.08
12,"Tesla, Inc.",TSLA,8.43
13,Visa Inc.,V,-9.34
14,Exxon Mobil Corporation,XOM,-2.64
15,Unitedhealth Group Incorporated,UNH,5.82
16,Mastercard Incorporated,MA,-11.32
17,Procter & Gamble Company,PG,-3.14
18,Costco Wholesale Corp,COST,-3.92
19,Johnson & Johnson,JNJ,-1.84
20,Abbvie Inc.,ABBV,-3.07
21,Walmart Inc.,WMT,-0.38
22,"Home Depot, Inc.",HD,-6.49
23,Netflix Inc,NFLX,28.42
24,Coca-Cola Company,KO,-0.41
25,Bank of America Corporation,BAC,-0.22
26,Chevron Corporation,CVX,-3.49
27,"Salesforce, Inc.",CRM,4.15
28,"Cisco Systems, Inc.",CSCO,-1.39
29,"Merck & Co., Inc.",MRK,-0.50
30,Oracle Corp,ORCL,-4.61
31,Abbott Laboratories,ABT,-4.70
32,International Business Machines Corporation,IBM,-7.95
33,Philip Morris International Inc.,PM,1.51
34,Mcdonald's Corporation,MCD,-10.49
35,Wells Fargo & Co.,WFC,0.50
36,Linde Plc,LIN,-7.99
37,"Pepsico, Inc.",PEP,-3.92
38,Accenture Plc,ACN,-7.51
39,Ge Aerospace,GE,-0.40
40,"Thermo Fisher Scientific, Inc.",TMO,-12.60
41,At&t Inc.,T,-1.27
42,Verizon Communications,VZ,-3.06
43,Adobe Inc.,ADBE,-1.42
44,The Walt Disney Company,DIS,-5.18
45,Amgen Inc,AMGN,-8.47
46,Qualcomm Inc,QCOM,-1.88
47,Intuitive Surgical Inc.,ISRG,11.11
48,Rtx Corporation,RTX,-0.41
49,Texas Instruments Incorporated,TXN,-9.15
50,Goldman Sachs Group Inc.,GS,-0.23
51,Caterpillar Inc.,CAT,-5.44
52,Progressive Corporation,PGR,-1.75
53,Intuit Inc,INTU,6.93
54,"Servicenow, Inc.",NOW,24.57
55,Advanced Micro Devices,AMD,0.13
56,"Nextra Energy, Inc.",NEE,-2.13
57,Palantir Technologies Inc. Class A,PLTR,1.67
58,S&p Global Inc.,SPGI,-8.39
59,"Uber Technologies, Inc.",UBER,-2.41
